ID	new_Prepositions_filtered	Imperfective lemma	Perfective lemma	group	Transit/Obj	arg_0	arg_1	arg_2	Examples: !Argument	comments: ?Complement *Collocation/Idiom	Distractors	Verb features
948	на! в?	коситься	покоситься		—	HEAD:Preposition + Base:на + Gov_Case:Accusative						
949	на!	коситься	скоситься		—	HEAD:Preposition + Base:на + Gov_Case:Accusative						
950		косматить	вскосматить		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
951		косматить	раскосматить		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
952		косматиться	вскосматиться		—							
953		коснеть	закоснеть		—							
954		кособочиться	скособочиться		—							
955		костенеть	закостенеть		—							
956		костенеть	окостенеть		—							
957		костить	скостить		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
958		костылять	накостылять		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
959		котиться	окотиться		—							
27	от!	коченеть	окоченеть	BECOM	—	HEAD:Preposition + Base:от + Gov_Case:Genitive						
960		коченеть	закоченеть		—							
961		красить	выкрасить		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
962		красить	накрасить		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
963		красить	окрасить		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
964	в!	красить	покрасить		HEAD:Noun + Case:Accusative + Dependency_Type:obj	HEAD:Preposition + Base:в + Gov_Case:Accusative	HEAD:Noun + Case:Instrumental					
965		краситься	выкраситься		—							
966		краситься	накраситься		—							
967	в!	краситься	окраситься		—	HEAD:Preposition + Base:в + Gov_Case:Accusative						
968		краситься	покраситься		—							
28	от!	краснеть	покраснеть	BECOM	—	HEAD:Preposition + Base:от + Gov_Case:Genitive						
969		красоваться	покрасоваться		—							
970	из! у!	красть	украсть		HEAD:Noun + Case:Accusative + Dependency_Type:obj	HEAD:Preposition + Base:из + Gov_Case:Genitive	HEAD:Preposition + Base:у + Gov_Case:Genitive					
971		крахмалить	накрахмалить		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
972		кренить	накренить		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
973	на!	крениться	накрениться		—	HEAD:Preposition + Base:на + Gov_Case:Accusative						
974	за? в? на!	крепить	закрепить		HEAD:Noun + Case:Accusative + Dependency_Type:obj	HEAD:Preposition + Base:на + Gov_Case:Locative						
975		крепнуть	окрепнуть		—							
976		крестить	окрестить		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
977		крестить	перекрестить		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
978		креститься	окреститься		—							
979		креститься	перекреститься		—							
980		криветь	окриветь		—							
981		кривить	искривить		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
982		кривить	покривить		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
983		кривить	скривить		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
984	от!	кривиться	искривиться		—	HEAD:Preposition + Base:от + Gov_Case:Genitive						
985	от!	кривиться	покривиться		—	HEAD:Preposition + Base:от + Gov_Case:Genitive						
986	от!	кривиться	скривиться		—	HEAD:Preposition + Base:от + Gov_Case:Genitive						
796		кристаллизовать	закристаллизовать									
797		кристаллизоваться	выкристаллизоваться		—							
798		кристаллизоваться	закристаллизоваться		—							
799	на! в? от!	кричать	закричать		—	HEAD:Preposition + Base:на + Gov_Case:Accusative	HEAD:Preposition + Base:от + Gov_Case:Genitive		кричал от боли			
800	на! в? от! из?	кричать	крикнуть		—	HEAD:Preposition + Base:на + Gov_Case:Accusative	HEAD:Preposition + Base:от + Gov_Case:Genitive		кричал на ученика			
801	на! в? от!	кричать	прокричать		HEAD:Noun + Case:Accusative + Dependency_Type:obj	HEAD:Preposition + Base:на + Gov_Case:Accusative	HEAD:Preposition + Base:от + Gov_Case:Genitive		кричал угрозы противникам // кричал оскорбления президенту			
2378	на! в? от! из?	кричать	крикнуть		HEAD:Noun + Case:Accusative + Dependency_Type:obj	HEAD:Preposition + Base:на + Gov_Case:Accusative	HEAD:Preposition + Base:от + Gov_Case:Genitive					
2405	на! в? от!	кричать	закричать		—	HEAD:Preposition + Base:на + Gov_Case:Accusative	HEAD:Preposition + Base:от + Gov_Case:Genitive		кричал на ученика			
802		кровавить	окровавить		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
803		кровавиться	окровавиться		—							
804		кровенить	окровенить									
805		кроить	выкроить		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
806		кроить	раскроить		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
807		кроить	скроить		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
808		кромсать	искромсать		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
809		кромсать	раскромсать		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
810		кропать	накропать		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
811		кропить	окропить		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
812		крошить	искрошить		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
813		крошить	накрошить		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
814		крошить	раскрошить		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
815		крошиться	искрошиться		—							
816		крошиться	раскрошиться		—							
817		круглеть	округлеть		—							
